# CheminTotalEnMicrons	Intensite
-1.050000000000000000e+03	9.585217250876619133e+00
-1.049799999999999955e+03	1.029674921654784470e+01
-1.049599999999999909e+03	1.023956568744212703e+01
-1.049400000000000091e+03	9.501273420198963038e+00
-1.049200000000000045e+03	1.017379049841709993e+01
-1.049000000000000000e+03	1.038212897604885043e+01
-1.048799999999999955e+03	9.474060562069906766e+00
-1.048599999999999909e+03	1.011121890931696754e+01
-1.048400000000000091e+03	1.044186020842981755e+01
-1.048200000000000045e+03	9.698239274268091847e+00
-1.048000000000000000e+03	9.888493033565296741e+00
-1.047799999999999955e+03	1.057553510501648297e+01
-1.047599999999999909e+03	9.813774865189094143e+00
-1.047400000000000091e+03	9.700406561290483509e+00
-1.047200000000000045e+03	1.044998310970990474e+01
-1.047000000000000000e+03	9.934643742419682511e+00
-1.046799999999999955e+03	9.660846831068770513e+00
-1.046599999999999909e+03	1.034532431887754633e+01
-1.046400000000000091e+03	1.004145702848331823e+01
-1.046200000000000045e+03	9.486039995710981998e+00
-1.046000000000000000e+03	1.042679626330745890e+01
-1.045799999999999955e+03	1.010732865214776055e+01
-1.045599999999999909e+03	9.414978831605644416e+00
-1.045400000000000091e+03	1.018990541288041740e+01
-1.045200000000000045e+03	1.034929578228741676e+01
-1.045000000000000000e+03	9.499514937952147520e+00
-1.044799999999999955e+03	1.001628459055807241e+01
-1.044599999999999909e+03	1.043883642200588291e+01
-1.044400000000000091e+03	9.564000375353746364e+00
-1.044200000000000045e+03	9.812797176106167640e+00
-1.044000000000000000e+03	1.053751206252444739e+01
-1.043799999999999955e+03	9.720541039772692571e+00
-1.043599999999999909e+03	9.765621306254852030e+00
-1.043400000000000091e+03	1.045300881202224019e+01
-1.043200000000000045e+03	9.933486193406714904e+00
-1.043000000000000000e+03	9.559394172540454093e+00
-1.042799999999999955e+03	1.053154077166912117e+01
-1.042599999999999909e+03	9.971814582269326266e+00
-1.042400000000000091e+03	9.468453255818323200e+00
-1.042200000000000045e+03	1.038553047117103567e+01
-1.042000000000000000e+03	1.024161155977044757e+01
-1.041799999999999955e+03	9.522632588895783456e+00
-1.041599999999999909e+03	1.013082819106441690e+01
-1.041400000000000091e+03	1.038594425025373091e+01
-1.041200000000000045e+03	9.566800675108757090e+00
-1.041000000000000000e+03	1.012224407414352534e+01
-1.040799999999999955e+03	1.044115934386634414e+01
-1.040599999999999909e+03	9.664818048821093299e+00
-1.040400000000000091e+03	9.864778225201737527e+00
-1.040200000000000045e+03	1.042673998174017846e+01
-1.040000000000000000e+03	9.635587889606693324e+00
-1.039799999999999955e+03	9.691223543581843458e+00
-1.039599999999999909e+03	1.048735945075364562e+01
-1.039400000000000091e+03	9.876110937272423840e+00
-1.039200000000000045e+03	9.681839694083704373e+00
-1.039000000000000000e+03	1.049483225726336144e+01
-1.038799999999999955e+03	1.002517178021495781e+01
-1.038599999999999909e+03	9.458083616624820777e+00
-1.038400000000000091e+03	1.040452423798894799e+01
-1.038200000000000045e+03	1.024963786373959351e+01
-1.038000000000000000e+03	9.412807704465768310e+00
-1.037799999999999955e+03	1.030109128395597473e+01
-1.037599999999999909e+03	1.043444953595374791e+01
-1.037400000000000091e+03	9.443496084572997162e+00
-1.037200000000000045e+03	1.008623035720867023e+01
-1.037000000000000000e+03	1.047522768402949644e+01
-1.036799999999999955e+03	9.541449616287236424e+00
-1.036599999999999909e+03	9.917049381017639220e+00
-1.036400000000000091e+03	1.040381684636879633e+01
-1.036200000000000045e+03	9.628605638966186930e+00
-1.036000000000000000e+03	9.672259705957559461e+00
-1.035799999999999955e+03	1.041439378106724867e+01
-1.035599999999999909e+03	9.846370659158706573e+00
-1.035400000000000091e+03	9.593105115839154706e+00
-1.035200000000000045e+03	1.036886357575284201e+01
-1.035000000000000000e+03	1.002724312642510363e+01
-1.034799999999999955e+03	9.581830643087339894e+00
-1.034599999999999909e+03	1.024893748238257096e+01
-1.034400000000000091e+03	1.025933030448813987e+01
-1.034200000000000045e+03	9.529406322440365784e+00
-1.034000000000000000e+03	1.023477319811222053e+01
-1.033799999999999955e+03	1.028839230569979257e+01
-1.033599999999999909e+03	9.597460109240012471e+00
-1.033400000000000091e+03	9.974208989775060985e+00
-1.033200000000000045e+03	1.040534990717518049e+01
-1.033000000000000000e+03	9.623904775931475086e+00
-1.032799999999999955e+03	9.877163181061552777e+00
-1.032599999999999909e+03	1.045092678310103018e+01
-1.032400000000000091e+03	9.761716076750907689e+00
-1.032200000000000045e+03	9.838047979876753502e+00
-1.032000000000000000e+03	1.058805437382532766e+01
-1.031799999999999955e+03	9.872682053074250064e+00
-1.031599999999999909e+03	9.645266072306160510e+00
-1.031400000000000091e+03	1.052329136251917063e+01
-1.031200000000000045e+03	1.002613051955668766e+01
-1.031000000000000000e+03	9.518363209740819286e+00
-1.030799999999999955e+03	1.033354465501107455e+01
-1.030599999999999909e+03	1.011313914575265116e+01
-1.030400000000000091e+03	9.489720756667988866e+00
-1.030200000000000045e+03	1.020464329068846787e+01
