# CheminTotalEnMicrons	Intensite
-1.000000000000000000e+02	1.055376664919649521e+01
-9.980449657869012015e+01	9.712421657652246409e+00
-9.960899315738025450e+01	9.768299511164768134e+00
-9.941348973607037465e+01	1.057922659612182770e+01
-9.921798631476050900e+01	9.826292881988095473e+00
-9.902248289345062915e+01	9.576023610851116530e+00
-9.882697947214076351e+01	1.034453885412949248e+01
-9.863147605083088365e+01	1.001811818347801264e+01
-9.843597262952101801e+01	9.568964645510339651e+00
-9.824046920821113815e+01	1.027463161250129531e+01
-9.804496578690127251e+01	1.036946167940716101e+01
-9.784946236559139265e+01	9.594124437823724705e+00
-9.765395894428152701e+01	1.010550272107881042e+01
-9.745845552297164716e+01	1.042860086298196087e+01
-9.726295210166178151e+01	9.652093987027438260e+00
-9.706744868035190166e+01	9.779529281776500937e+00
-9.687194525904203601e+01	1.041053164114256546e+01
-9.667644183773215616e+01	9.848414169325751644e+00
-9.648093841642229052e+01	9.593949663390546334e+00
-9.628543499511241066e+01	1.039357758213546745e+01
-9.608993157380254502e+01	1.014103474613571443e+01
-9.589442815249266516e+01	9.466162722824803311e+00
-9.569892473118279952e+01	1.031367840463479979e+01
-9.550342130987291966e+01	1.020670280362906190e+01
-9.530791788856305402e+01	9.453872089363578368e+00
-9.511241446725317417e+01	1.008559827048231305e+01
-9.491691104594330852e+01	1.035795084839764613e+01
-9.472140762463342867e+01	9.635238067102562809e+00
-9.452590420332356302e+01	9.747830112811747938e+00
-9.433040078201368317e+01	1.041256894658684118e+01
-9.413489736070381753e+01	9.808451717562022054e+00
-9.393939393939393767e+01	9.656273071698237231e+00
-9.374389051808407203e+01	1.035876637751642271e+01
-9.354838709677419217e+01	1.010874261218747527e+01
-9.335288367546432653e+01	9.587324133632534995e+00
-9.315738025415444667e+01	1.040318570882205407e+01
-9.296187683284458103e+01	1.016096817987265233e+01
-9.276637341153470118e+01	9.429004400321865376e+00
-9.257086999022483553e+01	1.008380218308498932e+01
-9.237536656891495568e+01	1.034135470521819222e+01
-9.217986314760509003e+01	9.635652694876410962e+00
-9.198435972629521018e+01	9.886834282368068827e+00
-9.178885630498533033e+01	1.045247181599740927e+01
-9.159335288367546468e+01	9.809388098326724759e+00
-9.139784946236559904e+01	9.598765744171831926e+00
-9.120234604105571918e+01	1.049347172099888148e+01
-9.100684261974583933e+01	1.002130700040058997e+01
-9.081133919843597369e+01	9.541527583866335149e+00
-9.061583577712610804e+01	1.025217490356925509e+01
-9.042033235581622819e+01	1.024035181261263183e+01
-9.022482893450634833e+01	9.422164232064895728e+00
-9.002932551319648269e+01	1.015069231493076707e+01
-8.983382209188660283e+01	1.045374311241965870e+01
-8.963831867057673719e+01	9.625886379206654908e+00
-8.944281524926685734e+01	9.972115607134787396e+00
-8.924731182795699169e+01	1.038728421101936839e+01
-8.905180840664711184e+01	9.707130972531363255e+00
-8.885630498533724619e+01	9.777894117501691795e+00
-8.866080156402736634e+01	1.048571318154406740e+01
-8.846529814271750070e+01	1.002007920424660625e+01
-8.826979472140762084e+01	9.560080614782670239e+00
-8.807429130009775520e+01	1.038348694214231038e+01
-8.787878787878787534e+01	1.023409049131699788e+01
-8.768328445747800970e+01	9.451089870876417720e+00
-8.748778103616812984e+01	1.011417254206387994e+01
-8.729227761485826420e+01	1.040134588091592782e+01
-8.709677419354838435e+01	9.530645902638436695e+00
-8.690127077223851870e+01	1.006728864865423212e+01
-8.670576735092863885e+01	1.055938007841312398e+01
-8.651026392961877320e+01	9.703734373131020163e+00
-8.631476050830889335e+01	9.835999355810457700e+00
-8.611925708699902771e+01	1.046606712477603018e+01
-8.592375366568914785e+01	9.936319174467097781e+00
-8.572825024437928221e+01	9.548961736198458894e+00
-8.553274682306940235e+01	1.038517970684704217e+01
-8.533724340175953671e+01	1.018564312809875894e+01
-8.514173998044965685e+01	9.491769237161841843e+00
-8.494623655913979121e+01	1.027289753897103175e+01
-8.475073313782991136e+01	1.036664785367601205e+01
-8.455522971652004571e+01	9.458188801682899438e+00
-8.435972629521016586e+01	9.935060751257074330e+00
-8.416422287390028600e+01	1.039923585665444783e+01
-8.396871945259042036e+01	9.709572293299231660e+00
-8.377321603128055472e+01	9.873548210992257879e+00
-8.357771260997067486e+01	1.057346547369768075e+01
-8.338220918866079501e+01	9.887925056934520285e+00
-8.318670576735092936e+01	9.634323828417546309e+00
-8.299120234604106372e+01	1.040498336340566965e+01
-8.279569892473118387e+01	1.015379378507706676e+01
-8.260019550342130401e+01	9.553524528350708422e+00
-8.240469208211143837e+01	1.027567424745011948e+01
-8.220918866080157272e+01	1.022995767977015369e+01
-8.201368523949169287e+01	9.452700208285518713e+00
-8.181818181818181301e+01	1.002244639684973571e+01
