# CheminTotalEnMicrons	Intensite
-2.000000000000000000e+01	9.646656260780941849e+00
-1.996089931573802545e+01	9.470585402736622527e+00
-1.992179863147605090e+01	9.539175325586599641e+00
-1.988269794721407635e+01	9.518479942543471850e+00
-1.984359726295210180e+01	9.769347810616515915e+00
-1.980449657869012725e+01	9.843462524813780590e+00
-1.976539589442815270e+01	1.006015855287216532e+01
-1.972629521016617815e+01	1.027554508308497638e+01
-1.968719452590420360e+01	1.039641287006458015e+01
-1.964809384164222905e+01	1.049726352230975124e+01
-1.960899315738025450e+01	1.053523565885430635e+01
-1.956989247311827995e+01	1.042968712082247151e+01
-1.953079178885630540e+01	1.029825762320239058e+01
-1.949169110459433085e+01	1.012861562650869907e+01
-1.945259042033235630e+01	9.873670568249725221e+00
-1.941348973607038175e+01	9.832400848734751619e+00
-1.937438905180840720e+01	9.628449524118728675e+00
-1.933528836754643265e+01	9.583638707996689377e+00
-1.929618768328445810e+01	9.503755363012739821e+00
-1.925708699902248355e+01	9.516446428993145190e+00
-1.921798631476050900e+01	9.766979483114317517e+00
-1.917888563049853445e+01	9.825057960085510800e+00
-1.913978494623655990e+01	9.998278742762897409e+00
-1.910068426197458535e+01	1.016254860866939502e+01
-1.906158357771261080e+01	1.041706306626972811e+01
-1.902248289345063625e+01	1.058327425482692341e+01
-1.898338220918866170e+01	1.054929140826947886e+01
-1.894428152492668715e+01	1.049764792485279585e+01
-1.890518084066471260e+01	1.036657111041757595e+01
-1.886608015640273806e+01	1.021033639348884670e+01
-1.882697947214076351e+01	9.996678728536631198e+00
-1.878787878787878896e+01	9.853960099828674046e+00
-1.874877810361681441e+01	9.606209414588924744e+00
-1.870967741935483986e+01	9.433243951334036481e+00
-1.867057673509286531e+01	9.480496033518589272e+00
-1.863147605083089076e+01	9.550579533619885098e+00
-1.859237536656891621e+01	9.595901484114188307e+00
-1.855327468230694166e+01	9.824373753460651670e+00
-1.851417399804496711e+01	9.966682929669360647e+00
-1.847507331378299256e+01	1.030912761149012091e+01
-1.843597262952101801e+01	1.030524798420576893e+01
-1.839687194525904346e+01	1.056600102276246567e+01
-1.835777126099706891e+01	1.045264141501778887e+01
-1.831867057673509436e+01	1.040650548714252288e+01
-1.827956989247311981e+01	1.044502148118926677e+01
-1.824046920821114526e+01	1.020211329168148495e+01
-1.820136852394917071e+01	1.000932615685453264e+01
-1.816226783968719616e+01	9.802851104530152071e+00
-1.812316715542522161e+01	9.569633116943638385e+00
-1.808406647116324706e+01	9.548244264978864138e+00
-1.804496578690127251e+01	9.425188731449036794e+00
-1.800586510263929796e+01	9.603761264515664919e+00
-1.796676441837732341e+01	9.618462855109919829e+00
-1.792766373411534886e+01	9.767377608459863580e+00
-1.788856304985337431e+01	9.912968398047363294e+00
-1.784946236559139976e+01	1.022547507874051043e+01
-1.781036168132942521e+01	1.030460419553678264e+01
-1.777126099706745066e+01	1.042858625330868705e+01
-1.773216031280547256e+01	1.042306424224565298e+01
-1.769305962854349801e+01	1.044501391160304671e+01
-1.765395894428152346e+01	1.033251672058868920e+01
-1.761485826001954891e+01	1.025652095473428638e+01
-1.757575757575757436e+01	1.004510836934542084e+01
-1.753665689149559981e+01	9.796521265729671413e+00
-1.749755620723362526e+01	9.671271757122557489e+00
-1.745845552297165071e+01	9.626875735037868864e+00
-1.741935483870967616e+01	9.450836896344691596e+00
-1.738025415444770161e+01	9.606284282485837878e+00
-1.734115347018572706e+01	9.611312469315951290e+00
-1.730205278592375251e+01	9.708736183919944196e+00
-1.726295210166177796e+01	9.887074748057335327e+00
-1.722385141739980341e+01	1.004045334961294245e+01
-1.718475073313782886e+01	1.021034451683948241e+01
-1.714565004887585431e+01	1.033927410531640412e+01
