# CheminTotalEnMicrons	Intensite
-7.115000000000000000e+03	6.000002599745263154e+01
-7.114800000000000182e+03	5.999997408860468084e+01
-7.114600000000000364e+03	6.000002996373027742e+01
-7.114399999999999636e+03	5.999996571072819052e+01
-7.114199999999999818e+03	6.000003109096547860e+01
-7.114000000000000000e+03	5.999997194584454263e+01
-7.113800000000000182e+03	6.000003250642355113e+01
-7.113600000000000364e+03	5.999996629849820096e+01
-7.113399999999999636e+03	6.000003585681919560e+01
-7.113199999999999818e+03	5.999996809127782171e+01
-7.113000000000000000e+03	6.000003347046492763e+01
-7.112800000000000182e+03	5.999997466173208238e+01
-7.112600000000000364e+03	6.000002710186072363e+01
-7.112399999999999636e+03	5.999997083496829475e+01
-7.112199999999999818e+03	6.000003148772075434e+01
-7.112000000000000000e+03	5.999996492640041623e+01
-7.111800000000000182e+03	6.000003056603601692e+01
-7.111600000000000364e+03	5.999997237326249433e+01
-7.111399999999999636e+03	6.000003387234758634e+01
-7.111199999999999818e+03	5.999997119576121918e+01
-7.111000000000000000e+03	6.000003596826049801e+01
-7.110800000000000182e+03	5.999997325676564230e+01
-7.110600000000000364e+03	6.000003600058668951e+01
-7.110399999999999636e+03	5.999996667528895955e+01
-7.110199999999999818e+03	6.000003183347384805e+01
-7.110000000000000000e+03	5.999997152395823008e+01
-7.109800000000000182e+03	6.000003581925516727e+01
-7.109600000000000364e+03	5.999997449970834396e+01
-7.109399999999999636e+03	6.000003505100766432e+01
-7.109199999999999818e+03	5.999997455557581816e+01
-7.109000000000000000e+03	6.000003386481424172e+01
-7.108800000000000182e+03	5.999996413801223127e+01
-7.108600000000000364e+03	6.000003274066787640e+01
-7.108399999999999636e+03	5.999997383928507588e+01
-7.108199999999999818e+03	6.000003270973081015e+01
-7.108000000000000000e+03	5.999997265992724493e+01
-7.107800000000000182e+03	6.000002961222724451e+01
-7.107600000000000364e+03	5.999996661215673299e+01
-7.107399999999999636e+03	6.000002485291611976e+01
-7.107199999999999818e+03	5.999997496486481907e+01
-7.107000000000000000e+03	6.000002548473869268e+01
-7.106800000000000182e+03	5.999996635085245344e+01
-7.106600000000000364e+03	6.000002706691356735e+01
-7.106399999999999636e+03	5.999996655262998502e+01
-7.106199999999999818e+03	6.000002906815659998e+01
-7.106000000000000000e+03	5.999996611959087289e+01
-7.105800000000000182e+03	6.000003189296426598e+01
-7.105600000000000364e+03	5.999996968804430253e+01
-7.105399999999999636e+03	6.000002923789017473e+01
-7.105199999999999818e+03	5.999997359602514990e+01
-7.105000000000000000e+03	6.000003419062802834e+01
-7.104800000000000182e+03	5.999996911607271244e+01
-7.104600000000000364e+03	6.000002497463518836e+01
-7.104399999999999636e+03	5.999997348223418214e+01
-7.104199999999999818e+03	6.000003260844712116e+01
-7.104000000000000000e+03	5.999997213972243770e+01
-7.103800000000000182e+03	6.000003293738652133e+01
-7.103600000000000364e+03	5.999996827480305939e+01
-7.103399999999999636e+03	6.000002574005463174e+01
-7.103199999999999818e+03	5.999996369505904426e+01
-7.103000000000000000e+03	6.000002878616500368e+01
-7.102800000000000182e+03	5.999997006562426805e+01
-7.102600000000000364e+03	6.000003476651702528e+01
-7.102399999999999636e+03	5.999996680301324403e+01
-7.102199999999999818e+03	6.000003591930046554e+01
-7.102000000000000000e+03	5.999996996289701912e+01
