m# CheminTotalEnMicrons	Intensite
1.000000000000000000e+01	5.999999999372990800e+01
9.960861056751467046e+00	5.999999999296335318e+01
9.921722113502935869e+00	5.999999999431348385e+01
9.882583170254402916e+00	5.999999999337221368e+01
9.843444227005871738e+00	5.999999999407750551e+01
9.804305283757338785e+00	5.999999999291732422e+01
9.765166340508805831e+00	5.999999999384906602e+01
9.726027397260274654e+00	5.999999999443392795e+01
9.686888454011741700e+00	5.999999999291418362e+01
9.647749510763208747e+00	5.999999999332718659e+01
9.608610567514677570e+00	5.999999999274266571e+01
9.569471624266144616e+00	5.999999999201238410e+01
9.530332681017611662e+00	5.999999999269186191e+01
9.491193737769080485e+00	5.999999999418338348e+01
9.452054794520547532e+00	5.999999999341769552e+01
9.412915851272016354e+00	5.999999999190282551e+01
9.373776908023483401e+00	5.999999999238450243e+01
9.334637964774950447e+00	5.999999999219491542e+01
9.295499021526419270e+00	5.999999999418949415e+01
9.256360078277886316e+00	5.999999999278619356e+01
9.217221135029355139e+00	5.999999999345540402e+01
9.178082191780822185e+00	5.999999999422999508e+01
9.138943248532289232e+00	5.999999999174061571e+01
9.099804305283758055e+00	5.999999999428341368e+01
9.060665362035225101e+00	5.999999999377746462e+01
9.021526418786692147e+00	5.999999999244204929e+01
8.982387475538160970e+00	5.999999999430610842e+01
8.943248532289628017e+00	5.999999999310902155e+01
8.904109589041095063e+00	5.999999999309206089e+01
8.864970645792563886e+00	5.999999999410680118e+01
8.825831702544030932e+00	5.999999999298757558e+01
8.786692759295499755e+00	5.999999999364206360e+01
8.747553816046966801e+00	5.999999999206254842e+01
8.708414872798433848e+00	5.999999999424856867e+01
8.669275929549902671e+00	5.999999999381741134e+01
8.630136986301369717e+00	5.999999999175278731e+01
8.590998043052838540e+00	5.999999999165446241e+01
8.551859099804305586e+00	5.999999999188036526e+01
8.512720156555772633e+00	5.999999999202051271e+01
8.473581213307241455e+00	5.999999999201490652e+01
8.434442270058708502e+00	5.999999999361711644e+01
8.395303326810175548e+00	5.999999999387810590e+01
8.356164383561644371e+00	5.999999999293499542e+01
8.317025440313111417e+00	5.999999999227419067e+01
8.277886497064578464e+00	5.999999999253189031e+01
8.238747553816047287e+00	5.999999999301424936e+01
8.199608610567514333e+00	5.999999999315480181e+01
8.160469667318983156e+00	5.999999999146956497e+01
8.121330724070450202e+00	5.999999999200674949e+01
8.082191780821917249e+00	5.999999999370236736e+01
8.043052837573386071e+00	5.999999999128652206e+01
8.003913894324853118e+00	5.999999999268973738e+01
7.964774951076321052e+00	5.999999999305160969e+01
7.925636007827788987e+00	5.999999999317522992e+01
7.886497064579256033e+00	5.999999999360603908e+01
7.847358121330723968e+00	5.999999999118221439e+01
7.808219178082191902e+00	5.999999999131487272e+01
7.769080234833659837e+00	5.999999999392426986e+01
7.729941291585127772e+00	5.999999999296833408e+01
7.690802348336594818e+00	5.999999999359161507e+01
7.651663405088062753e+00	5.999999999386254501e+01
7.612524461839530687e+00	5.999999999321057231e+01
7.573385518590997734e+00	5.999999999179953392e+01
7.534246575342465668e+00	5.999999999276108298e+01
7.495107632093933603e+00	5.999999999116341343e+01
7.455968688845401537e+00	5.999999999126482919e+01
7.416829745596869472e+00	5.999999999064633016e+01
7.377690802348336518e+00	5.999999999151560104e+01
