# CheminTotalEnMicrons	Intensite
-1.355500000000000000e+03	8.485065568854869511e+00
-1.355299999999999955e+03	1.173175690177717456e+01
-1.355099999999999909e+03	7.925051469236027657e+00
-1.354900000000000091e+03	1.120905814500709319e+01
-1.354700000000000045e+03	8.696367681138255534e+00
-1.354500000000000000e+03	9.539839201082887854e+00
-1.354299999999999955e+03	1.062540175160334321e+01
-1.354099999999999909e+03	1.014038568478096458e+01
-1.353900000000000091e+03	8.965425835111817676e+00
-1.353700000000000045e+03	1.085132752823774283e+01
-1.353500000000000000e+03	8.554866317327956438e+00
-1.353299999999999955e+03	8.893675985290016683e+00
-1.353099999999999909e+03	1.193833802423773172e+01
-1.352900000000000091e+03	7.826664112346718660e+00
-1.352700000000000045e+03	1.095320164736839530e+01
-1.352500000000000000e+03	9.950097553409689155e+00
-1.352299999999999955e+03	1.073654892419699713e+01
-1.352099999999999909e+03	9.276848721394509667e+00
-1.351900000000000091e+03	1.022741600546261331e+01
-1.351700000000000045e+03	9.093183289404581870e+00
-1.351500000000000000e+03	1.084860935342161881e+01
-1.351299999999999955e+03	9.992735478834926965e+00
-1.351099999999999909e+03	1.014645257537286582e+01
-1.350900000000000091e+03	1.070073416439990055e+01
-1.350700000000000045e+03	8.118473907760405339e+00
-1.350500000000000000e+03	1.072444190098195982e+01
-1.350299999999999955e+03	9.836474530175097541e+00
-1.350099999999999909e+03	1.038428839877603593e+01
-1.349900000000000091e+03	1.024524249394438691e+01
-1.349700000000000045e+03	1.092538976452456545e+01
-1.349500000000000000e+03	8.939703761876939936e+00
-1.349299999999999955e+03	1.073916164305399512e+01
-1.349099999999999909e+03	9.868454683217780854e+00
-1.348900000000000091e+03	1.031358029386645647e+01
-1.348700000000000045e+03	1.202759605172385449e+01
-1.348500000000000000e+03	8.772406588043155651e+00
-1.348299999999999955e+03	1.041139941562077631e+01
-1.348099999999999909e+03	1.003221142476230199e+01
-1.347900000000000091e+03	1.033313496700182554e+01
-1.347700000000000045e+03	8.891064240415614606e+00
-1.347500000000000000e+03	1.106708476664348417e+01
-1.347299999999999955e+03	8.659288066618083590e+00
-1.347099999999999909e+03	1.150500713310521483e+01
-1.346900000000000091e+03	8.989816361123878607e+00
-1.346700000000000045e+03	1.012066595781353762e+01
-1.346500000000000000e+03	9.557020524896870484e+00
-1.346299999999999955e+03	8.911876508842230038e+00
-1.346099999999999909e+03	1.144687614470900705e+01
-1.345900000000000091e+03	9.043684575373324819e+00
-1.345700000000000045e+03	1.022464559450652644e+01
-1.345500000000000000e+03	1.022430772119214204e+01
-1.345299999999999955e+03	1.031576970165052032e+01
-1.345099999999999909e+03	9.027566768562765631e+00
-1.344900000000000091e+03	1.040743238176375662e+01
-1.344700000000000045e+03	9.253955209297318518e+00
-1.344500000000000000e+03	1.182797666564122530e+01
-1.344299999999999955e+03	9.517617218642152821e+00
-1.344099999999999909e+03	1.024902814225758618e+01
-1.343900000000000091e+03	1.143786356422400630e+01
-1.343700000000000045e+03	8.209091284972037883e+00
-1.343500000000000000e+03	9.555968333789484959e+00
-1.343299999999999955e+03	1.066399380511933792e+01
-1.343099999999999909e+03	9.837595120815636918e+00
-1.342900000000000091e+03	8.973274676860055976e+00
-1.342700000000000045e+03	1.260008940463157678e+01
-1.342500000000000000e+03	7.985695087513831503e+00
-1.342299999999999955e+03	1.048857920278147660e+01
-1.342099999999999909e+03	1.018754368546028566e+01
-1.341900000000000091e+03	8.352318902648830701e+00
-1.341700000000000045e+03	1.030038406249445693e+01
-1.341500000000000000e+03	9.625283155953550107e+00
