# CheminTotalEnMicrons	Intensite
-1.000000000000000000e+02	1.096554834395369227e+01
-9.980449657869012015e+01	8.986843546969318197e+00
-9.960899315738025450e+01	9.594137319782056750e+00
-9.941348973607037465e+01	1.020150203442464942e+01
-9.921798631476050900e+01	7.930741580099577526e+00
-9.902248289345062915e+01	1.129634720846687479e+01
-9.882697947214076351e+01	9.630220984791060701e+00
-9.863147605083088365e+01	9.353268952096790656e+00
-9.843597262952101801e+01	1.096230416972797705e+01
-9.824046920821113815e+01	9.602549293006493514e+00
-9.804496578690127251e+01	8.483439596702769592e+00
-9.784946236559139265e+01	1.125134859195212833e+01
-9.765395894428152701e+01	9.702989123106984692e+00
-9.745845552297164716e+01	7.837631285341009502e+00
-9.726295210166178151e+01	1.332084486061763506e+01
-9.706744868035190166e+01	8.467391308728883459e+00
-9.687194525904203601e+01	9.854830871699281403e+00
-9.667644183773215616e+01	1.039879993426464821e+01
-9.648093841642229052e+01	1.016698243555610581e+01
-9.628543499511241066e+01	1.073008247304163376e+01
-9.608993157380254502e+01	1.028673745922533733e+01
-9.589442815249266516e+01	9.905582977691759439e+00
-9.569892473118279952e+01	9.725179750481414587e+00
-9.550342130987291966e+01	1.268007652216906500e+01
-9.530791788856305402e+01	8.046999712188537046e+00
-9.511241446725317417e+01	1.274094368400464994e+01
-9.491691104594330852e+01	9.553556673529893573e+00
-9.472140762463342867e+01	9.135679314743955004e+00
-9.452590420332356302e+01	1.029237684919837115e+01
-9.433040078201368317e+01	9.209547766264702062e+00
-9.413489736070381753e+01	9.949723898695070901e+00
-9.393939393939393767e+01	9.978858850786767931e+00
-9.374389051808407203e+01	1.082004046307069522e+01
-9.354838709677419217e+01	7.902705407269514204e+00
-9.335288367546432653e+01	1.266703611571983146e+01
-9.315738025415444667e+01	8.985680937306801397e+00
-9.296187683284458103e+01	9.632115444992281894e+00
-9.276637341153470118e+01	1.110014338804375456e+01
-9.257086999022483553e+01	1.012913867408646773e+01
-9.237536656891495568e+01	1.041099961888901504e+01
-9.217986314760509003e+01	9.386718885770450882e+00
