# CheminTotalEnMicrons	Intensite
0.000000000000000000e+00	3.011752939313312005e+00
5.000166672222407238e-02	2.939244145624649640e+00
1.000033334444481448e-01	2.837263891317179265e+00
1.500050001666722310e-01	2.706845505252436723e+00
2.000066668888962895e-01	2.482099776521689449e+00
2.500083336111203480e-01	2.243841645066451562e+00
3.000100003333444620e-01	1.990495314078215339e+00
3.500116670555685205e-01	1.704801523226909143e+00
4.000133337777925790e-01	1.477545887107232447e+00
4.500150005000166376e-01	1.258088586128715880e+00
5.000166672222406961e-01	1.107285987976738273e+00
5.500183339444647546e-01	1.026869064309926083e+00
6.000200006666889241e-01	1.000133355742477193e+00
6.500216673889129826e-01	1.041692481462169972e+00
7.000233341111370411e-01	1.173835140875393757e+00
7.500250008333610996e-01	1.353793467922593807e+00
8.000266675555851581e-01	1.574996468803374849e+00
8.500283342778092166e-01	1.834195559828091904e+00
9.000300010000332751e-01	2.091649426139166046e+00
9.500316677222573336e-01	2.324520679326301131e+00
1.000033334444481392e+00	2.599055017659111844e+00
1.050035001166705451e+00	2.765587078326805948e+00
1.100036667888929509e+00	2.910956869253263690e+00
1.150038334611153568e+00	2.962938063463724792e+00
1.200040001333377848e+00	2.972006834673663445e+00
1.250041668055601907e+00	2.916147458668727044e+00
1.300043334777825965e+00	2.781543941480468796e+00
1.350045001500050024e+00	2.630667934290981336e+00
1.400046668222274082e+00	2.402036123779084154e+00
1.450048334944498141e+00	2.107054134361251219e+00
1.500050001666722199e+00	1.878813479032042322e+00
1.550051668388946258e+00	1.590381234772236585e+00
1.600053335111170316e+00	1.365694672346871474e+00
1.650055001833394375e+00	1.203760171114882871e+00
1.700056668555618433e+00	1.069163627344385858e+00
1.750058335277842492e+00	1.003972112446492870e+00
1.800060002000066550e+00	1.004941541593197485e+00
1.850061668722290609e+00	1.082132846935519810e+00
1.900063335444514667e+00	1.224323755970074146e+00
1.950065002166738726e+00	1.439312584929495653e+00
2.000066668888962784e+00	1.675146693749834936e+00
2.050068335611186843e+00	1.936389250247037896e+00
2.100070002333410901e+00	2.173789360350531386e+00
2.150071669055634960e+00	2.442500745872683954e+00
2.200073335777859018e+00	2.689272395018925899e+00
2.250075002500083077e+00	2.863989381869471273e+00
2.300076669222307135e+00	2.926867380198196145e+00
2.350078335944531194e+00	2.988492297238425355e+00
2.400080002666755696e+00	2.983501508086087384e+00
2.450081669388979755e+00	2.875788623839638181e+00
2.500083336111203813e+00	2.753143415885012324e+00
2.550085002833427872e+00	2.526219579604174204e+00
2.600086669555651930e+00	2.272842136945103064e+00
2.650088336277875989e+00	2.020031151628877364e+00
2.700090003000100047e+00	1.750223352362011209e+00
2.750091669722324106e+00	1.496731722096797057e+00
2.800093336444548164e+00	1.304286005581390073e+00
2.850095003166772223e+00	1.127646307502305545e+00
2.900096669888996281e+00	1.028168044916001556e+00
2.950098336611220340e+00	9.969335710079914037e-01
3.000100003333444398e+00	1.040001776309524839e+00
3.050101670055668457e+00	1.144139704197944196e+00
3.100103336777892515e+00	1.314122506050478201e+00
3.150105003500116574e+00	1.519295643804343676e+00
