Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
178.204,-385.7,-368.29,-345.59,-284.67,-351.74,-343.21,-404.13,-418.64,
178.424,-385.7,-368.29,-345.59,-284.67,-351.74,-343.21,-404.13,-418.64,
178.644,-385.7,-368.29,-345.59,-284.67,-351.74,-343.21,-404.13,-418.64,
178.864,-404.13,-448.16,-327.16,-372.73,-341.5,-388.26,-400.04,-480.08,
179.084,-326.31,-370.34,-386.55,-313.34,-427.51,-394.4,-443.04,-396.11,
179.304,15.7,29.01,33.28,-12.29,8.7,33.62,-37.55,54.44,
179.524,-37.55,-18.09,-38.4,34.82,-62.98,-79.02,-49.83,-50,
179.744,50.52,55.64,49.66,38.91,-7.68,70.48,25.94,50.35,
179.964,103.76,92.5,12.8,18.43,61.95,35.67,64.85,-56.15,
180.184,68.95,-26.28,-52.74,40.96,61.95,0.85,-10.92,33.96,
180.404,-2.73,18.77,47.62,22.53,66.05,-1.19,11.61,42.15,
180.624,-17.07,-24.23,-50.69,-14.34,-56.83,-21.67,17.75,-29.52,
180.844,-45.74,6.49,-7.68,20.48,-46.59,21.33,-129.7,-11.09,
181.064,-98.99,-57,-101.89,-73.73,-56.83,-70.83,21.85,-123.73,
181.283,-88.75,-1.71,80.38,36.86,4.61,41.81,44.37,128.17,
181.503,-31.4,-28.33,-32.26,-73.73,-42.5,-126.12,-27.31,-74.58,
181.723,83.28,-46.76,59.9,-38.91,70.14,95.06,68.95,36.01,
181.943,-101.03,-102.06,-28.16,-45.06,-36.35,-142.5,-113.32,-37.72,
182.163,243.03,196.95,236.03,233.47,236.03,176.98,200.02,148.65,
182.383,52.56,-22.19,-26.11,-2.05,39.42,7,21.85,-11.09,
182.602,-0.68,78.16,61.95,12.29,27.14,64.34,101.72,68.78,
182.822,120.15,69.97,107.01,194.56,72.19,174.93,136.53,156.84,
183.042,48.47,137.56,64,6.14,-34.3,129.88,85.33,74.92,
183.262,-12.97,-34.47,10.75,26.62,2.56,-15.53,58.71,25.77,
183.482,27.99,82.26,12.8,-47.1,57.86,0.85,-8.87,72.87,
183.701,66.9,59.73,104.96,75.77,33.28,-25.77,60.76,29.87,
183.921,-19.11,45.4,104.96,53.25,84.48,107.35,85.33,52.39,
184.141,5.46,-54.95,55.81,-38.91,-58.88,2.9,-25.26,13.48,
184.361,56.66,41.3,176.64,63.49,137.73,78.68,144.72,122.02,
184.58,64.85,49.49,72.19,71.68,137.73,27.48,-10.92,87.21,
184.8,83.28,88.4,96.77,81.92,-28.16,50,83.28,130.22,
185.02,38.23,-32.43,84.48,34.82,-32.26,-15.53,3.41,95.4,
185.239,116.05,74.07,145.92,83.97,86.53,76.63,150.87,138.41,
185.459,79.19,49.49,201.21,100.35,47.62,43.86,87.38,40.11,
185.679,87.38,149.84,184.83,147.45,174.59,105.3,202.07,132.26,
185.898,-94.89,-44.71,-9.73,-63.49,-9.73,-62.63,-72.36,-2.9,
186.118,171.35,20.82,143.87,96.25,68.09,35.67,34.13,25.77,
186.338,83.28,53.59,102.91,51.2,100.86,70.48,99.67,81.07,
186.557,101.72,72.02,193.02,145.41,51.71,154.45,124.24,160.94,
186.777,5.46,-20.14,10.75,-12.29,-46.59,-111.78,-51.88,33.96,
186.997,19.8,16.73,107.01,18.43,6.66,21.33,46.42,85.16,
187.216,54.61,-5.8,94.72,100.35,86.53,142.16,1.37,83.11,
187.436,120.15,186.71,186.88,114.69,170.49,189.27,210.26,115.88,
187.655,11.61,121.17,100.86,71.68,33.28,170.83,3.41,132.26,
187.875,93.52,106.84,162.3,116.73,35.33,168.79,91.48,93.35,
188.095,124.24,-11.95,107.01,49.15,4.61,50,25.94,42.15,
188.314,128.34,139.6,205.31,141.31,74.24,138.07,159.06,117.93,
188.534,142.68,137.56,186.88,151.55,113.15,119.64,173.39,261.29,
188.753,-21.16,2.39,33.28,-28.67,35.33,-1.19,1.37,-39.76,
188.973,62.8,84.31,117.25,145.41,55.81,150.36,142.68,189.61,
189.192,181.59,178.51,164.35,108.54,203.26,133.97,154.96,267.43,
189.412,15.7,29.01,92.67,43.01,25.09,95.06,62.8,11.43,
189.631,25.94,24.92,70.14,6.14,68.09,103.25,5.46,21.67,
189.851,89.43,53.59,39.42,106.49,0.51,45.91,50.52,81.07,
190.07,111.96,180.56,147.97,196.61,174.59,105.3,161.11,132.26,
190.29,-33.45,-38.57,49.66,-22.53,-7.68,-27.82,-45.74,-56.15,
190.509,-25.26,24.92,92.67,61.44,-28.16,66.39,-25.26,17.58,
190.729,60.76,-7.85,78.33,100.35,39.42,93.01,54.61,99.5,
190.948,157.01,162.13,193.02,159.74,176.64,156.5,114,140.46,
191.168,271.7,237.91,311.8,262.14,252.41,179.03,259.41,234.66,
191.387,103.76,112.98,150.01,192.51,74.24,119.64,114,122.02,
191.607,13.65,49.49,37.38,83.97,23.04,27.48,19.8,54.44,
191.826,25.94,49.49,141.82,55.3,90.62,17.24,50.52,115.88,
192.045,34.13,20.82,111.1,129.02,-7.68,74.58,27.99,42.15,
192.265,46.42,39.25,-15.87,88.06,51.71,74.58,38.23,74.92,
192.484,58.71,18.77,135.68,75.77,31.23,4.95,75.09,79.02,
192.704,13.65,12.63,80.38,81.92,86.53,2.9,42.32,140.46,
192.923,40.28,-3.75,29.18,-28.67,16.9,-97.45,-2.73,-76.63,
193.142,175.44,211.28,258.56,280.57,145.92,203.6,243.03,185.51,
193.362,81.24,12.63,135.68,81.92,35.33,119.64,111.96,97.45,
193.581,62.8,127.32,168.45,108.54,121.34,90.96,128.34,150.7,
193.8,50.52,119.12,119.29,75.77,98.81,4.95,75.09,91.31,
194.02,-0.68,135.51,121.34,137.21,88.57,115.54,148.82,128.17,
194.239,-55.98,59.73,176.64,114.69,18.94,90.96,23.89,-31.57,
194.458,142.68,53.59,139.77,120.83,66.05,62.29,79.19,107.69,
194.678,34.13,-67.24,78.33,49.15,55.81,47.96,42.32,33.96,
194.897,79.19,37.2,57.86,20.48,41.47,72.53,77.14,-17.24,
195.116,91.48,51.54,113.15,108.54,51.71,7,66.9,124.07,
195.335,25.94,129.36,133.63,104.45,86.53,52.05,95.57,31.91,
195.555,68.95,123.22,182.78,108.54,31.23,111.44,50.52,81.07,
195.774,36.18,20.82,78.33,120.83,0.51,-58.54,64.85,87.21,
195.993,54.61,129.36,139.77,122.88,125.44,103.25,101.72,158.89,
196.212,30.04,72.02,113.15,6.14,16.9,90.96,13.65,42.15,
196.432,91.48,4.44,41.47,36.86,-15.87,15.19,60.76,64.68,
196.651,-6.83,-5.8,131.58,26.62,78.33,-9.39,9.56,89.26,
196.87,23.89,59.73,102.91,12.29,0.51,125.78,-17.07,52.39,
197.089,230.74,203.09,262.65,196.61,219.64,246.61,249.17,214.18,
197.308,103.76,88.4,143.87,61.44,2.56,72.53,99.67,105.64,
197.528,62.8,139.6,98.81,192.51,100.86,76.63,118.1,140.46,
197.747,-15.02,-5.8,-15.87,38.91,8.7,-58.54,-8.87,-29.52,
197.966,73.04,59.73,39.42,75.77,64,37.72,44.37,81.07,
198.185,150.87,82.26,176.64,143.36,86.53,219.99,97.62,203.94,
198.404,-41.64,-5.8,84.48,0,-48.64,-33.96,25.94,-19.29,
